"Country Code","Country",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BFA,Burkina Faso,423.96938,426.037381,503.827204,462.172314,481.466041,554.73263,502.68074,530.923397,537.333661,627.741969,650.248629,633.626901,656.50185,636.823833,615.782681,638.687209,664.061948,821.513252,847.3276,863.907346,726.636042,871.416222,882.395602,921.839424,1057.40798,1107.65299,1137.53518,1409.51985,1284.70388,1232.92717,1189.14012,1239.95595,1161.74992,1265.30505,1330.97513,1410.86099,1479.27786,1671.58398,1991.0609,1934.786,2110.6369,2186.5975,2263.9812,2239.4145,2252.5105,2280.4585,2352.0702
BDI,Burundi,224.923861,219.362434,239.049571,233.807139,240.323269,263.442312,244.38361,257.986368,263.310868,308.039282,326.071444,313.364805,340.783414,332.755466,329.81382,348.922865,346.694899,419.392307,474.257318,505.658368,423.078544,503.380958,502.519791,525.406478,620.856932,645.445548,649.546014,746.079326,668.873956,624.200884,585.81595,671.22078,676.247438,754.404644,767.192017,758.297332,762.096629,830.224295,879.815021,840.871287,916.86494,967.85432,1008.11264,1020.01151,1047.40062,1063.74171,1093.61785
CPV,Cabo Verde,40.329971,40.272601,43.525266,47.844124,49.528356,53.470147,77.924089,82.092017,88.519598,110.241793,108.843689,114.508915,44.728044,47.675617,56.78948,58.353188,31.969802,41.639589,46.837866,44.765634,44.89234,49.420159,48.216978,46.969582,43.019147,46.369613,48.699446,54.336957,51.495366,53.184362,76.688457,65.958904,66.956251,68.3553,70.489883,72.306857,72.182625,79.687367,82.148105,81.412771,87.131973,90.979551,92.585211,92.743035,96.405317,97.173886,99.687289
KHM,Cambodia,378.759773,380.905763,425.710313,445.599787,458.69,532.569313,513.826458,641.532157,561.513117,587.814421,622.811612,647.503724,657.494825,673.826431,694.407282,763.416831,766.550392,887.652891,859.081717,826.184876,928.62085,868.111275,846.219609,857.154877,876.66448,1484.11967,1643.1997,1754.8566,1970.69722,1923.39184,1981.71411,2167.58392,2227.54335,2397.25332,2398.16284,2669.92327,2979.56415,3475.89787,3931.8295,4108.0504,4146.8219,4468.373,4660.7833,4786.7695,5674.9479,6033.7167,6496.9582
CMR,Cameroon,867.093,914.677,948.5133,997.9408,972.1804,1235.2429,1149.7426,1610.1808,1746.0544,1902.2198,2024.1184,2167.2802,2304.3151,4391.6116,4617.9729,4556.2126,5424.0603,4965.437,3264.5096,4567.968,4550.7036,4326.5426,4148.5993,4519.9366,9384.481,9243.953,8713.202,8724.7363,9003.67,8789.65,8965.8776,8598.5889,8268.1602,8176.289,8452.29,8493.157,8713.374,9688.52,10017.993,10607.226,10063.676,9867.662,7531.396,8279.3467,8575.7297,9250.0973,9454.3311
CAN,Canada,454900.9,462351.1,481054.2,500287.0,508719.2,498496.6,511242.8,525279.3,527428.8,542676.2,546948.9,527240.0,507847.9,503195.7,522369.6,522540.6,512617.0,525058.8,557396.0,575560.0,554684.3,556471.8,577845.0,583743.1,618736.9,655407.9,649166.5,651182.6,682782.9,676957.8,728216.8,730778.3,742819.6,719266.7,730768.4,722327.7,698970.8,710085.7,724467.3,679000.9,687784.4,685150.3,690725.4,698880.77,701112.57,682765.34,675918.61
CYM,Cayman Islands (the),46.72897,46.870429,68.292912,72.288873,62.418232,79.630751,62.036577,72.93742,62.478113,62.165937,64.331952,87.913992,82.137718,88.974552,97.35423,84.308186,96.044884,106.097299,214.817582,223.301614,224.427658,231.382752,229.480722,193.991586,223.300645,247.440927,253.519988,224.860415,218.994777,219.676194,230.262059,246.490843,242.08685,247.543528,271.760232,268.023561,264.589919,289.521175,296.783491,302.907058,320.653029,343.536714,344.380239,378.805,384.546378,399.997049,406.057437
CAF,Central African Republic (the),128.877795,129.682983,134.986897,151.383055,159.652923,170.267328,170.581798,182.880427,186.953438,219.450841,205.631092,210.323706,221.448376,219.95904,215.738583,225.192613,239.889629,299.522939,277.523759,282.970973,233.975939,274.333824,279.730796,287.590331,337.331021,355.625361,343.970907,402.331398,368.804,362.51753,354.479569,370.512862,362.801233,384.03028,386.068454,381.588713,389.479758,426.645472,447.637499,434.266921,470.600043,490.42087,504.79918,505.594695,525.479619,529.601924,543.228728
TCD,Chad,214.130186,216.051991,235.375883,235.112333,241.658337,262.353671,264.656317,284.651607,293.199429,349.063167,378.789603,360.790994,375.087073,360.561807,316.93663,333.688716,374.188871,455.705926,419.687816,427.022273,406.929568,465.633956,479.996519,457.686445,608.17581,640.18357,647.93895,757.98299,680.85885,709.7464,672.95724,715.36906,730.54424,910.4489,939.3584,948.5465,965.605,1084.8923,1054.5334,1017.2685,1083.8635,1126.0435,1306.1948,1380.3273,1481.45374,1635.86578,1670.9411
CHL,Chile,27353.986,29507.456,30528.484,30464.897,28727.401,26080.398,26538.43,25088.925,25582.912,27145.054,27065.77,25022.862,21287.606,21753.708,23014.575,22178.308,22470.247,22687.929,27458.718,33178.083,32966.469,31326.057,32435.22,34379.253,37587.302,41236.699,47572.495,54695.201,55294.734,58216.61,54084.969,51874.891,51995.21,53531.366,58296.681,59564.003,61016.408,69404.937,72235.538,68843.203,73213.091,79873.528,78264.935,82770.619,76925.253,77147.873,81258.525
